iter	Passed	Remaining
580	5547	4000
581	5556	3990
582	5566	3981
583	5575	3971
584	5585	3962
585	5594	3952
586	5603	3942
587	5613	3933
588	5622	3923
589	5632	3914
590	5641	3904
591	5651	3894
592	5660	3885
593	5670	3875
594	5679	3866
595	5689	3856
596	5698	3846
597	5707	3836
598	5716	3826
599	5724	3816
600	5733	3806
601	5741	3796
602	5751	3786
603	5759	3776
604	5769	3766
605	5777	3756
606	5787	3746
607	5796	3737
608	5805	3727
609	5813	3717
610	5822	3707
611	5832	3697
612	5842	3688
613	5851	3678
614	5861	3669
615	5871	3660
616	5880	3650
617	5889	3640
618	5899	3631
619	5908	3621
620	5917	3611
621	5926	3601
622	5936	3592
623	5945	3582
624	5954	3572
625	5964	3563
626	5973	3553
627	5982	3543
628	5991	3534
629	6001	3524
630	6010	3514
631	6019	3504
632	6028	3495
633	6037	3485
634	6046	3475
635	6055	3465
636	6064	3455
637	6073	3446
638	6082	3436
639	6092	3426
640	6101	3417
641	6111	3408
642	6120	3398
643	6130	3388
644	6139	3379
645	6149	3369
646	6158	3359
647	6167	3350
648	6177	3341
649	6187	3331
650	6196	3321
651	6206	3312
652	6215	3303
653	6224	3293
654	6233	3283
655	6242	3273
656	6251	3263
657	6260	3253
658	6268	3243
659	6277	3233
660	6286	3224
661	6295	3214
662	6304	3204
663	6312	3194
664	6322	3184
665	6331	3175
666	6340	3165
667	6350	3156
668	6359	3146
669	6368	3136
670	6378	3127
671	6387	3117
672	6396	3108
673	6405	3098
674	6414	3088
675	6423	3078
676	6432	3068
677	6443	3060
678	6453	3051
679	6462	3041
680	6472	3031
681	6481	3022
682	6491	3012
683	6500	3003
684	6509	2993
685	6519	2983
686	6528	2974
687	6538	2965
688	6548	2955
689	6557	2946
690	6567	2936
691	6576	2927
692	6585	2917
693	6596	2908
694	6604	2898
695	6613	2888
696	6623	2879
697	6633	2870
698	6643	2860
699	6652	2850
700	6661	2841
701	6671	2832
702	6680	2822
703	6689	2812
704	6698	2802
705	6707	2793
706	6716	2783
707	6726	2774
708	6736	2764
709	6744	2754
710	6754	2745
711	6764	2736
712	6774	2726
713	6784	2717
714	6793	2708
715	6803	2698
716	6812	2688
717	6822	2679
718	6831	2669
719	6840	2660
720	6850	2650
721	6859	2641
722	6868	2631
723	6877	2621
724	6887	2612
725	6897	2603
726	6906	2593
727	6915	2583
728	6924	2574
729	6934	2564
730	6944	2555
731	6953	2545
732	6963	2536
733	6972	2526
734	6980	2516
735	6990	2507
736	6999	2497
737	7009	2488
738	7019	2478
739	7028	2469
740	7037	2459
741	7046	2450
742	7055	2440
743	7065	2431
744	7075	2421
745	7084	2412
746	7094	2402
747	7104	2393
748	7116	2384
749	7127	2375
750	7137	2366
751	7146	2356
752	7156	2347
753	7166	2338
754	7175	2328
755	7185	2319
756	7194	2309
757	7204	2300
758	7213	2290
759	7223	2281
760	7233	2271
761	7243	2262
762	7253	2253
763	7263	2243
764	7272	2234
765	7282	2224
766	7290	2214
767	7300	2205
768	7310	2196
769	7320	2186
770	7329	2176
771	7339	2167
772	7349	2158
773	7360	2149
774	7369	2139
775	7379	2130
776	7388	2120
777	7398	2111
778	7408	2101
779	7418	2092
780	7427	2082
781	7436	2073
782	7446	2063
783	7458	2054
784	7467	2045
785	7476	2035
786	7485	2025
787	7494	2016
788	7504	2006
789	7513	1997
790	7523	1987
791	7532	1978
792	7541	1968
793	7551	1959
794	7560	1949
795	7569	1940
796	7579	1930
797	7589	1921
798	7597	1911
799	7606	1901
800	7615	1891
801	7624	1882
802	7633	1872
803	7643	1863
804	7652	1853
805	7662	1844
806	7672	1834
807	7681	1825
808	7690	1815
809	7699	1806
810	7708	1796
811	7718	1787
812	7728	1777
813	7737	1768
814	7747	1758
815	7756	1749
816	7766	1739
817	7774	1729
818	7783	1720
819	7792	1710
820	7801	1700
821	7811	1691
822	7819	1681
823	7829	1672
824	7838	1662
825	7848	1653
826	7857	1643
827	7866	1634
828	7875	1624
829	7885	1615
830	7893	1605
831	7902	1595
832	7911	1586
833	7921	1576
834	7930	1567
835	7939	1557
836	7949	1548
837	7957	1538
838	7966	1528
839	7975	1519
840	7985	1509
841	7994	1500
842	8003	1490
843	8011	1480
844	8021	1471
845	8030	1461
846	8039	1452
847	8048	1442
